date,gold,fx,cpi,oil,set,btc,gold_next,gold_lag1,gold_lag3,gold_roll7_mean,gold_pct_change,fx_lag1,fx_lag3,fx_roll7_mean,fx_pct_change,cpi_lag1,cpi_lag3,cpi_roll7_mean,cpi_pct_change,oil_lag1,oil_lag3,oil_roll7_mean,oil_pct_change,set_lag1,set_lag3,set_roll7_mean,set_pct_change,btc_lag1,btc_lag3,btc_roll7_mean,btc_pct_change
2025-04-07,49750.0,33.7522,100.14,3.665642857142857,1125.2099609375,79235.3359375,49550.0,50200.0,50600.0,50185.71428571428,-0.008964143426294813,33.7522,33.7522,33.89991428571428,0.0,100.14,100.14,100.26285714285714,0.0,3.665642857142857,3.665642857142857,3.6342308066083575,0.0,1125.2099609375,1172.68994140625,1155.2114083426338,0.0,83843.8046875,82485.7109375,82962.70200892857,-0.05496492874072856
2025-04-08,49550.0,33.7522,100.14,3.665642857142857,1074.5899658203125,76271.953125,49850.0,49750.0,50650.0,50200.0,-0.004020100502512558,33.7522,33.7522,33.826057142857145,0.0,100.14,100.14,100.20142857142856,0.0,3.665642857142857,3.665642857142857,3.6499368318756074,0.0,1125.2099609375,1161.81005859375,1140.8028390066963,-0.04498715517503249,79235.3359375,83102.828125,81808.24553571429,-0.03739976334343409
2025-04-09,49850.0,33.7522,100.14,3.665642857142857,1088.1800537109375,82573.953125,50400.0,49550.0,50200.0,50171.42857142857,0.006054490413723412,33.7522,33.7522,33.7522,0.0,100.14,100.14,100.14,0.0,3.665642857142857,3.665642857142857,3.665642857142857,0.0,1074.5899658203125,1125.2099609375,1130.815708705357,0.012646766043688862,76271.953125,83843.8046875,81811.82254464286,0.0826253916648998
2025-04-10,50400.0,33.7522,100.14,3.665642857142857,1133.949951171875,79626.140625,51200.0,49850.0,49750.0,50142.857142857145,0.011033099297893756,33.7522,33.7522,33.7522,0.0,100.14,100.14,100.14,0.0,3.665642857142857,3.665642857142857,3.665642857142857,0.0,1088.1800537109375,1125.2099609375,1125.9485560825892,0.04206095976934332,82573.953125,79235.3359375,81019.9609375,-0.0356990599146636
2025-04-11,51200.0,33.7522,100.14,3.665642857142857,1128.6600341796875,83404.8359375,51100.0,50400.0,49550.0,50228.57142857143,0.015873015873015817,33.7522,33.7522,33.7522,0.0,100.14,100.14,100.14,0.0,3.665642857142857,3.665642857142857,3.665642857142857,0.0,1133.949951171875,1074.5899658203125,1119.6585693359375,-0.004665035689380037,79626.140625,76271.953125,81151.26450892857,0.04745546227457886
2025-04-14,51100.0,33.7522,100.14,3.665642857142857,1128.6600341796875,84542.390625,51200.0,51200.0,49850.0,50292.857142857145,-0.001953125,33.7522,33.7522,33.7522,0.0,100.14,100.14,100.14,0.0,3.665642857142857,3.665642857142857,3.665642857142857,0.0,1128.6600341796875,1088.1800537109375,1114.9228515625,0.0,83404.8359375,82573.953125,81356.91629464286,0.013638953601592618
2025-04-15,51200.0,33.7522,100.14,3.665642857142857,1128.6600341796875,83668.9921875,51950.0,51100.0,50400.0,50435.71428571428,0.001956947162426559,33.7522,33.7522,33.7522,0.0,100.14,100.14,100.14,0.0,3.665642857142857,3.665642857142857,3.665642857142857,0.0,1128.6600341796875,1133.949951171875,1115.4157191685267,0.0,84542.390625,79626.140625,81331.94308035714,-0.01033089354397465
2025-04-16,51950.0,33.7522,100.14,3.665642857142857,1138.9000244140625,84033.8671875,52350.0,51200.0,51200.0,50750.0,0.0146484375,33.7522,33.7522,33.7522,0.0,100.14,100.14,100.14,0.0,3.665642857142857,3.665642857142857,3.665642857142857,0.0,1128.6600341796875,1128.6600341796875,1117.3714425223213,0.009072696759230503,83668.9921875,83404.8359375,82017.44754464286,0.004360934564412222
2025-04-17,52350.0,33.7522,100.14,3.665642857142857,1141.280029296875,84895.75,52450.0,51950.0,51100.0,51150.0,0.007699711260827691,33.7522,33.7522,33.7522,0.0,100.14,100.14,100.14,0.0,3.665642857142857,3.665642857142857,3.665642857142857,0.0,1138.9000244140625,1128.6600341796875,1126.8985944475446,0.002089739952404468,84033.8671875,84542.390625,83249.41852678571,0.01025637449930672
2025-04-18,52450.0,33.7522,100.14,3.665642857142857,1150.949951171875,84450.8046875,53200.0,52350.0,51200.0,51521.42857142857,0.0019102196752627254,33.7522,33.7522,33.7522,0.0,100.14,100.14,100.14,0.0,3.665642857142857,3.665642857142857,3.665642857142857,0.0,1141.280029296875,1128.6600341796875,1135.86572265625,0.008472873989530338,84895.75,83668.9921875,83517.54017857143,-0.005241078764249063
2025-04-21,53200.0,33.7522,100.14,3.665642857142857,1134.7099609375,87518.90625,54450.0,52450.0,51950.0,51921.42857142857,0.014299332697807365,33.7522,33.7522,33.7522,0.0,100.14,100.14,100.14,0.0,3.665642857142857,3.665642857142857,3.665642857142857,0.0,1150.949951171875,1138.9000244140625,1135.9742954799108,-0.014110075088703655,84450.8046875,84033.8671875,84645.078125,0.03633004533057016
2025-04-22,54450.0,33.7522,100.14,3.665642857142857,1144.050048828125,93441.890625,52700.0,53200.0,52350.0,52385.71428571428,0.023496240601503793,33.7522,33.7522,33.7522,0.0,100.14,100.14,100.14,0.0,3.665642857142857,3.665642857142857,3.665642857142857,0.0,1134.7099609375,1141.280029296875,1138.1728690011162,0.008231255750067001,87518.90625,84895.75,86078.94308035714,0.06767662701452015
2025-04-23,52700.0,33.7522,100.14,3.665642857142857,1153.77001953125,93699.109375,52800.0,54450.0,52450.0,52614.28571428572,-0.032139577594123,33.7522,33.7522,33.7522,0.0,100.14,100.14,100.14,0.0,3.665642857142857,3.665642857142857,3.665642857142857,0.0,1144.050048828125,1150.949951171875,1141.760009765625,0.008496106191404174,93441.890625,84450.8046875,87387.04575892857,0.0027527134594511615
2025-04-24,52800.0,33.7522,100.14,3.665642857142857,1146.8599853515625,93943.796875,52450.0,52700.0,53200.0,52842.857142857145,0.00189753320683117,33.7522,33.7522,33.7522,0.0,100.14,100.14,100.14,0.0,3.665642857142857,3.665642857142857,3.665642857142857,0.0,1153.77001953125,1134.7099609375,1144.3600027901787,-0.00598909146772153,93699.109375,87518.90625,88854.875,0.0026114175645013393
2025-04-25,52450.0,33.7522,100.14,3.665642857142857,1159.0,94720.5,52300.0,52800.0,54450.0,52914.28571428572,-0.006628787878787845,33.7522,33.7522,33.7522,0.0,100.14,100.14,100.14,0.0,3.665642857142857,3.665642857142857,3.665642857142857,0.0,1146.8599853515625,1144.050048828125,1147.2314278738838,0.01058543745836249,93943.796875,93441.890625,90381.53683035714,0.008267742531563593
2025-04-28,52300.0,33.7522,100.14,3.665642857142857,1159.530029296875,94978.75,52400.0,52450.0,52700.0,52907.142857142855,-0.0028598665395614953,33.7522,33.7522,33.7522,0.0,100.14,100.14,100.14,0.0,3.665642857142857,3.665642857142857,3.665642857142857,0.0,1159.0,1153.77001953125,1149.8385707310267,0.0004573160456211589,94720.5,93699.109375,91821.96540178571,0.002726442533559359
2025-04-29,52400.0,33.7522,100.14,3.665642857142857,1171.1199951171875,94284.7890625,51900.0,52300.0,52800.0,52900.0,0.0019120458891013214,33.7522,33.7522,33.7522,0.0,100.14,100.14,100.14,0.0,3.665642857142857,3.665642857142857,3.665642857142857,0.0,1159.530029296875,1146.8599853515625,1152.720005580357,0.009995399452777054,94978.75,93943.796875,93226.8203125,-0.007306486319308303
