date,gold,fx,cpi,oil,set,gold_next,gold_lag1,gold_lag3,gold_roll7_mean,gold_pct_change,fx_lag1,fx_lag3,fx_roll7_mean,fx_pct_change,cpi_lag1,cpi_lag3,cpi_roll7_mean,cpi_pct_change,oil_lag1,oil_lag3,oil_roll7_mean,oil_pct_change,set_lag1,set_lag3,set_roll7_mean,set_pct_change
2024-07-23,40462.04,36.3001,100.86,3.93274149659864,1301.5400390625,40462.04,40462.04,41098.76,40726.25714285714,0.0,36.3001,36.3001,36.3001,0.0,100.86,100.86,100.86,0.0,3.93274149659864,3.93274149659864,3.93274149659864,0.0,1317.1400146484375,1324.760009765625,1318.4443184988838,-0.011843824811670678
2024-07-24,40462.04,36.3001,100.86,3.93274149659864,1298.0799560546875,39870.8,40462.04,40659.12,40726.25714285714,0.0,36.3001,36.3001,36.3001,0.0,100.86,100.86,100.86,0.0,3.93274149659864,3.93274149659864,3.93274149659864,0.0,1301.5400390625,1317.1400146484375,1314.2514474051338,-0.0026584529895098408
2024-07-25,39870.8,36.3001,100.86,3.93274149659864,1291.5799560546875,39719.2,40462.04,40462.04,40594.14857142857,-0.014612214312476501,36.3001,36.3001,36.3001,0.0,100.86,100.86,100.86,0.0,3.93274149659864,3.93274149659864,3.93274149659864,0.0,1298.0799560546875,1317.1400146484375,1310.0042898995537,-0.005007395707546158
2024-07-26,39719.2,36.3001,100.86,3.93274149659864,1307.2099609375,39870.8,39870.8,40462.04,40390.57142857143,-0.0038022813688214363,36.3001,36.3001,36.3001,0.0,100.86,100.86,100.86,0.0,3.93274149659864,3.93274149659864,3.93274149659864,0.0,1291.5799560546875,1301.5400390625,1308.2071358816963,0.012101461322268081
2024-07-29,39870.8,36.3001,100.86,3.93274149659864,1307.2099609375,39870.8,39719.2,40462.04,40215.14857142857,0.003816793893129944,36.3001,36.3001,36.3001,0.0,100.86,100.86,100.86,0.0,3.93274149659864,3.93274149659864,3.93274149659864,0.0,1307.2099609375,1298.0799560546875,1305.699986049107,0.0
2024-07-30,39870.8,36.3001,100.86,3.93274149659864,1308.0899658203125,40022.4,39870.8,39870.8,40102.531428571434,0.0,36.3001,36.3001,36.3001,0.0,100.86,100.86,100.86,0.0,3.93274149659864,3.93274149659864,3.93274149659864,0.0,1307.2099609375,1291.5799560546875,1304.4071219308037,0.0006731932199945945
2024-07-31,40022.4,36.3001,100.86,3.93274149659864,1320.8599853515625,40158.84,39870.8,39719.2,40039.72571428572,0.0038022813688212143,36.3001,36.3001,36.3001,0.0,100.86,100.86,100.86,0.0,3.93274149659864,3.93274149659864,3.93274149659864,0.0,1308.0899658203125,1307.2099609375,1304.9385463169642,0.009762340408476344
2024-08-01,40158.84,34.7568,100.94,3.851561224489796,1322.75,40355.92,40022.4,39870.8,39996.41142857143,0.003409090909090695,36.3001,36.3001,36.07962857142857,-0.04251503439384474,100.86,100.86,100.87142857142858,0.000793178663494043,3.93274149659864,3.93274149659864,3.921144314868805,-0.020642158193986404,1320.8599853515625,1307.2099609375,1307.968540736607,0.0014308970438940971
2024-08-02,40355.92,34.7568,100.94,3.851561224489796,1313.0799560546875,39719.2,40158.84,39870.8,39981.25142857143,0.004907512268780723,34.7568,36.3001,35.85915714285714,0.0,100.94,100.86,100.88285714285715,0.0,3.851561224489796,3.93274149659864,3.9095471331389704,0.0,1322.75,1308.0899658203125,1310.1113978794642,-0.00731056053321677
2024-08-05,39719.2,34.7568,100.94,3.851561224489796,1274.6700439453125,39764.68,40355.92,40022.4,39959.59428571428,-0.01577761081893314,34.7568,36.3001,35.638685714285714,0.0,100.94,100.86,100.89428571428572,0.0,3.851561224489796,3.93274149659864,3.8979499514091356,0.0,1313.0799560546875,1320.8599853515625,1307.6956961495537,-0.02925176942368568
