date,gold,fx,cpi,oil,set,gold_next,gold_lag1,gold_lag3,gold_roll7,gold_pct,fx_lag1,fx_lag3,fx_roll7,fx_pct,cpi_lag1,cpi_lag3,cpi_roll7,cpi_pct,oil_lag1,oil_lag3,oil_roll7,oil_pct,set_lag1,set_lag3,set_roll7,set_pct
2024-08-02,65764.08,34.7568,100.94,3.851561224489796,1313.0799560546875,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,36.3001,35.85915714285714,0.0,100.94,100.86,100.88285714285715,0.0,3.851561224489796,3.93274149659864,3.9095471331389704,0.0,1322.75,1308.0899658203125,1310.1113978794642,-0.00731056053321677
2024-08-05,65764.08,34.7568,100.94,3.851561224489796,1274.6700439453125,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,36.3001,35.638685714285714,0.0,100.94,100.86,100.89428571428572,0.0,3.851561224489796,3.93274149659864,3.8979499514091356,0.0,1313.0799560546875,1320.8599853515625,1307.6956961495537,-0.02925176942368568
2024-08-06,65764.08,34.7568,100.94,3.851561224489796,1274.010009765625,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,35.418214285714285,0.0,100.94,100.94,100.9057142857143,0.0,3.851561224489796,3.851561224489796,3.8863527696793008,0.0,1274.6700439453125,1322.75,1302.952845982143,-0.0005178078694346722
2024-08-07,65764.08,34.7568,100.94,3.851561224489796,1290.550048828125,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,35.197742857142856,0.0,100.94,100.94,100.91714285714285,0.0,3.851561224489796,3.851561224489796,3.8747555879494655,0.0,1274.010009765625,1313.0799560546875,1300.5728585379463,0.012982660211235508
2024-08-08,65764.08,34.7568,100.94,3.851561224489796,1296.25,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.97727142857143,0.0,100.94,100.94,100.92857142857143,0.0,3.851561224489796,3.851561224489796,3.863158406219631,0.0,1290.550048828125,1274.6700439453125,1298.8814348493304,0.004416683550592104
2024-08-09,65764.08,34.7568,100.94,3.851561224489796,1297.0699462890625,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1296.25,1274.010009765625,1295.4828578404017,0.000632552585583479
2024-08-12,65764.08,34.7568,100.94,3.851561224489796,1297.0699462890625,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1297.0699462890625,1290.550048828125,1291.8142787388392,0.0
2024-08-13,65764.08,34.7568,100.94,3.851561224489796,1297.7900390625,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1297.0699462890625,1296.25,1289.6300048828125,0.0005551688060445592
2024-08-14,65764.08,34.7568,100.94,3.851561224489796,1292.68994140625,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1297.7900390625,1297.0699462890625,1292.2042759486608,-0.00392983264067448
2024-08-15,65764.08,34.7568,100.94,3.851561224489796,1289.8399658203125,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1292.68994140625,1297.0699462890625,1294.4656982421875,-0.0022046861313372856
